epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.292,0.553,2.47825,0.95509,0.00548,0.4418,0.36971,0.34451,0.54433,2.86238,0.95323,0.00048343,0.00048343,0.00048343
2,19.5244,0.59982,1.68727,0.97876,0.01014,0.39024,0.3827,0.34212,0.66814,2.77907,0.97373,0.00095571,0.00095571,0.00095571
3,28.8247,0.64016,1.25745,0.9581,0.98272,0.34059,0.39656,0.32974,0.94442,2.44508,1.08305,0.0013997,0.0013997,0.0013997
4,38.2136,0.65952,1.17471,0.97452,0.95442,0.37805,0.50191,0.39515,0.8668,1.47289,1.0602,0.00152554,0.00152554,0.00152554
5,47.4428,0.57198,1.05991,0.93093,0.9593,0.38415,0.49974,0.39714,0.73282,1.34468,0.97532,0.00147839,0.00147839,0.00147839
6,56.4708,0.56724,0.99118,0.9527,0.98027,0.39024,0.48654,0.39526,0.68473,1.4808,0.97378,0.00143124,0.00143124,0.00143124
7,65.5193,0.55333,0.94888,0.94756,0.94064,0.35366,0.44952,0.37893,0.56662,1.69103,0.91689,0.00138409,0.00138409,0.00138409
8,74.6979,0.49942,0.85452,0.90813,0.3133,0.7412,0.48423,0.4351,0.51779,1.39248,0.89682,0.00133693,0.00133693,0.00133693
9,84.0186,0.43274,0.79768,0.88118,0.39251,0.63415,0.49765,0.45587,0.47759,1.23296,0.86815,0.00128978,0.00128978,0.00128978
10,93.5572,0.45193,0.79309,0.90179,0.49762,0.50388,0.51698,0.45891,0.47698,1.08097,0.89519,0.00124263,0.00124263,0.00124263
11,103.08,0.44279,0.79408,0.87761,0.5201,0.73115,0.55581,0.50292,0.42852,1.02705,0.88247,0.00119548,0.00119548,0.00119548
12,112.288,0.44018,0.80799,0.89369,0.53799,0.79933,0.56081,0.50197,0.48684,0.93412,0.9016,0.00114832,0.00114832,0.00114832
13,121.486,0.43342,0.73995,0.87504,0.48403,0.87084,0.55353,0.48812,0.55299,0.94815,0.90849,0.00110117,0.00110117,0.00110117
14,130.373,0.41611,0.76574,0.87609,0.43651,0.72118,0.56227,0.50366,0.52499,0.85229,0.89989,0.00105402,0.00105402,0.00105402
15,139.606,0.41951,0.72713,0.88192,0.42862,0.63027,0.58189,0.53087,0.47477,0.89927,0.88119,0.00100687,0.00100687,0.00100687
16,148.612,0.39901,0.72117,0.88566,0.44132,0.65299,0.58148,0.51334,0.46751,0.8002,0.88375,0.000959716,0.000959716,0.000959716
17,157.631,0.38274,0.6668,0.87297,0.47856,0.92572,0.58511,0.54552,0.42257,0.80559,0.86283,0.000912563,0.000912563,0.000912563
18,166.426,0.36849,0.67031,0.87135,0.56796,0.8683,0.59078,0.54056,0.42316,0.8259,0.87078,0.000865411,0.000865411,0.000865411
19,175.997,0.36437,0.67747,0.85774,0.53303,0.88027,0.63662,0.60292,0.35696,0.81614,0.85002,0.000818259,0.000818259,0.000818259
20,185.246,0.3738,0.66431,0.8707,0.47921,0.85754,0.58594,0.55318,0.33638,0.83971,0.85117,0.000771107,0.000771107,0.000771107
21,194.198,0.35578,0.62246,0.8574,0.48894,0.80348,0.58542,0.55458,0.31408,0.78609,0.83839,0.000723954,0.000723954,0.000723954
22,203.133,0.33357,0.62684,0.85551,0.50497,0.90044,0.58859,0.55093,0.33187,0.75048,0.8422,0.000676802,0.000676802,0.000676802
23,212.125,0.28856,0.58032,0.83432,0.50518,0.88027,0.58716,0.54906,0.3128,0.69878,0.85566,0.00062965,0.00062965,0.00062965
24,221.586,0.30847,0.60563,0.85232,0.50896,0.92572,0.59693,0.56034,0.30177,0.65823,0.8486,0.000582497,0.000582497,0.000582497
25,230.71,0.30405,0.59036,0.8457,0.56207,0.58481,0.59412,0.56501,0.28363,0.69035,0.83542,0.000535345,0.000535345,0.000535345
26,239.63,0.27584,0.66703,0.81888,0.56199,0.58481,0.59257,0.56542,0.27441,0.75096,0.83276,0.000488193,0.000488193,0.000488193
27,248.573,0.26231,0.66547,0.81752,0.49834,0.60754,0.58392,0.5642,0.29489,0.74801,0.83457,0.000441041,0.000441041,0.000441041
28,257.777,0.27171,0.65704,0.81947,0.47499,0.85754,0.58631,0.57266,0.26543,0.67015,0.82956,0.000393888,0.000393888,0.000393888
29,267.181,0.256,0.62744,0.82713,0.48648,0.88027,0.5894,0.5753,0.27072,0.70571,0.83371,0.000346736,0.000346736,0.000346736
